Type,Subpopulation,Response,Stressor,NResp,Estimate,StdError.log,LCB95Pct,UCB95Pct,WeightTotal,CellCounts.11,CellCounts.12,CellCounts.21,CellCounts.22,CellProportions.11,CellProportions.12,CellProportions.21,CellProportions.22
Whole_Miss_Basin,Yes,Fish_MMI,Acidification,741,0.001726622,0.001534946,-0.001281144,0.004725353,498515.5916,1,349,0,391,0.001073845,0.382632354,0,0.616293801
Whole_Miss_Basin,Yes,Fish_MMI,Streambed_Sediment,717,0.103338117,0.046497841,0.017782331,0.181441591,488675.0623,103,224,53,337,0.111149544,0.255834207,0.111381479,0.52163477
Whole_Miss_Basin,Yes,Fish_MMI,Instream_Habitat,737,0.147222764,0.036435504,0.084096842,0.205997918,497063.4536,67,277,37,356,0.098055449,0.278840879,0.034385714,0.588717958
Whole_Miss_Basin,Yes,Fish_MMI,Total_Nitrogen,743,0.096505394,0.07664587,-0.049945235,0.222528494,501005.5861,223,127,167,226,0.212089802,0.16970938,0.295932644,0.322268174
Whole_Miss_Basin,Yes,Fish_MMI,Total_Phosphorus,743,0.365020523,0.130823741,0.17942731,0.50863715,501005.5861,264,86,216,177,0.293086315,0.088712867,0.340988811,0.277212007
Whole_Miss_Basin,Yes,Fish_MMI,Riparian_Disturbance,737,0.072083096,0.048487659,-0.020426801,0.156206227,497063.4536,99,245,105,288,0.127837395,0.249058933,0.160013175,0.463090497
Whole_Miss_Basin,Yes,Fish_MMI,Riparian_Vegetation,737,0.100979705,0.050341871,0.00775122,0.185448744,497063.4536,88,256,71,322,0.133464764,0.243431564,0.148103535,0.475000137
Whole_Miss_Basin,Yes,Fish_MMI,Salinity,743,0.029345429,0.014822029,0.000733708,0.057137918,501005.5861,43,307,23,370,0.025324602,0.35647458,0.012777737,0.605423081
Whole_Miss_Basin,Yes,MacroInvert_MMI,Acidification,841,0.00344749,0.002127697,-0.00071702,0.007594669,552962.2201,2,368,0,471,0.003019615,0.464652281,0,0.532328104
Whole_Miss_Basin,Yes,MacroInvert_MMI,Streambed_Sediment,814,0.054243141,0.033132695,-0.00921129,0.113707858,542412.554,100,253,81,380,0.12091192,0.341140357,0.098427077,0.439520646
Whole_Miss_Basin,Yes,MacroInvert_MMI,Instream_Habitat,837,0.111509585,0.030095863,0.0575238,0.162403021,551510.0821,82,286,38,431,0.111963678,0.356955349,0.031268214,0.499812759
Whole_Miss_Basin,Yes,MacroInvert_MMI,Total_Nitrogen,843,0.202978661,0.076181377,0.074629491,0.313525763,555452.2146,232,139,216,256,0.283617188,0.18344871,0.223587516,0.309346586
Whole_Miss_Basin,Yes,MacroInvert_MMI,Total_Phosphorus,843,0.25789181,0.10377743,0.090499939,0.394475505,555452.2146,268,103,275,197,0.341659397,0.125406501,0.296535517,0.236398585
Whole_Miss_Basin,Yes,MacroInvert_MMI,Riparian_Disturbance,837,0.056440569,0.03704868,-0.014624054,0.1225278,551510.0821,114,254,117,352,0.145696215,0.323222812,0.123779111,0.407301862
Whole_Miss_Basin,Yes,MacroInvert_MMI,Riparian_Vegetation,837,0.084015407,0.037642765,0.013880041,0.149162567,551510.0821,100,268,75,394,0.151529254,0.317389773,0.10953461,0.421546362
Whole_Miss_Basin,Yes,MacroInvert_MMI,Salinity,843,0.021735175,0.010167316,0.002045195,0.041036665,555452.2146,56,315,30,442,0.029499791,0.437566107,0.012845216,0.520088886
