"SITE_ID","LAT_DD83","LON_DD83","XCOORD","YCOORD","AG_ECO3_NM","AG_ECO9_NM","MISS_BASIN_NM","MAJ_BAS_NM","FS_EW","EPA_REG","STRAH_CAT","NARS_OWN","NRS13_EVAL","NRS13_MDC","NRS13_PNL","NRS13_SF","NRS13_STRA","NRS13_TNT","NRS13_URBN","NRS13_VST","NRS13_WGTD","WGT13_ALL","WGT13_CAT","ANC_COND","ANC","DOC","PH","SAL_COND","COND","NTL_COND","NTL_UG_L","PTL_COND","PTL","BENT_MMI_COND","MMI_BENT","OE_SCORE","OE_COND","INSTRMCVR_COND","L_XFC_NAT","BEDSED_COND","LRBS_USE","RIPDIST_COND","W1_HALL","RIPVEG_COND","L_XCMGW","FISH_MMI_COND","MMI_FISH","ENT_1X_CCE_100ML","ENT_1X_STV_COND","MICX_COND","MICX_RESULT","MICX_MDL","MICX_RL","MICX_FLAG","HG_COND","MERCURY_RESULT","MERCURY_MDL","MERCURY_RL","MERCURY_FLAG","PUBLICATION_DATE"
"KSRS-1288","39.12843","-95.65402","29633.54","182571.8","Plains and Lowlands","Temporate Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","SmallStreams","Private","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","Urban","1","987.90857","262.74164","KS_RiverStream","None","4822.28","4.56","7.88","Fair","1158","Good",350,"Good","59","Poor","16.45","0.40918595315556677","OE<0.5","Good","-0.55923399","Poor","-2.989239387","High","1.60608636363636","Good","-0.128374001","Good","59.21","236.189188229886","Below Human Health Threshold","<= 10 ug/L","0.249",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"AZR9-0903","32.40882122","-111.16062954","-1412464.646","-456533.697","West","Xeric",NA,"Lower Colorado Region",NA,"Region_9","RiversOther","Private","Target_Sampled","AZ_Rivers_AZ_6th","Base_09River_RVT","Include","AZ","Target","NonUrban","2","1","3.12749","AZ_RiversOther","None","3629.06","6.71","7.86","Poor","1218","Poor",20225,"Poor","3269","Poor","11.4","0.27983781574281191","OE<0.5","Fair","-0.663904301","Fair","-1.823081846","High","2.80305454545455","Fair","-0.616511048","Poor","33.19","711.838670600371","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"AZSS-1115","34.33749","-111.0138","-1365016","-246034","West","Western Mountains",NA,"Lower Colorado Region","West","Region_9","SmallStreams","USFS","Target_Sampled","AZ_SmallStreams_WMT","Base_NewSmallStreams","Include","AZ","Target","NonUrban","1","448.07652","53.13184","AZ_SmallStreams","None","1571.94","1.26","7.84","Good","192.2","Good",86,"Fair","18","Fair","43.67","1.263744135527139","O/E>=0.9","Fair","-0.520254601","Good","-0.663123451","Low","0.272727272727273","Good","0.0749659654","Poor","56.52","70.8872811226016","Below Human Health Threshold","<= 10 ug/L","0.137",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","54.1","0.697","3.86",NA,2017-10-12
"KSR9-0910","39.49523","-97.2319","-104977.1","224307.4","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversMajor","Private","Target_Sampled","KS_Rivers_KS_7th+","Base_09River","Include","KS","Target","NonUrban","1","1","89.04705","KS_RiverStream","None","4437.6","5.73","8.33","Good","865","Poor",1475,"Poor","311","Fair","22.4","0.93938250372203813","O/E>=0.9","Good","-0.677780705","Fair","-2.018163888","Moderate","0.446986363636364","Good","-0.167200881","Poor","29.73","27.6302519119015","Below Human Health Threshold","<= 10 ug/L","0.152",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","212","2.8","15.5",NA,2017-10-12
"AZLS-1055","34.86995","-112.0693","-1450079","-171643.9","West","Western Mountains",NA,"Lower Colorado Region",NA,"Region_9","LargeStreams","Private","Target_Sampled","AZ_LargeStreams_WMT","Base_NewLargeStreams","Include","AZ","Target","NonUrban","1","792.229","49.35876","AZ_LargeStreams","None","5889.98","0.75","8","Fair","529","Good",123,"Fair","32","Poor","34.38","1.3290891700935659","O/E>=0.9","Fair","-0.654550864","Poor","-1.13080704","Low","0.115384615384615","Good","0.1441549176","Poor","51.83","206.725398095079","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","81.3","0.981","5.43",NA,2017-10-12
"KSRS-1270","37.17128","-96.84909","-74683.38","-36504.41","Plains and Lowlands","Temporate Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_7","LargeStreams","Private","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban","1","987.90857","262.74164","KS_RiverStream","None","3929.21","2.87","8.23","Good","416","Good",309,"Good","28","Poor","24.28","0.72586812280757829","O/E<0.8","Good","-0.706938935","Good","-0.746204532","Moderate","0.878804545454545","Good","-0.197226275","Good","74.52","42.3925518539689","Below Human Health Threshold","<= 10 ug/L","0.165",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","241","22.9","127",NA,2017-10-12
"KSS9-0933","37.84409","-96.85665","-74669.44","38899.92","Plains and Lowlands","Temporate Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_7","LargeStreams","Private","Target_Sampled","KS_Streams_KS_4th5t","Base_09Stream","Include","KS","Target","NonUrban","1","1","1829.77901","KS_RiverStream","None","4171.87","6.98","8.05","Good","756","Good",625,"Good","66","Fair","31.53","1.3509146028256429","O/E>=0.9","Good","-0.673105801","Good","-1.129487929","Moderate","1.12125454545455","Good","-0.134384632","Good","70.19","25.5695014539082","Below Human Health Threshold","<= 10 ug/L","0.101",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","149","0.796","4.41",NA,2017-10-12
"KYRM-1006","38.51354","-85.02908","945516.6","168235.9","Eastern Highlands","Southern Appalachians","Ohio Region","Ohio-Tennessee Region",NA,"Region_4","RiversMajor","Private","Target_Sampled","KY_RiversMajor_SAP","Base_NewRiversMajor","Include","KY","Target","NonUrban","1","461.86666","196.87235","KY_RiversMajor","None","1994.72","1.95","7.9","Good","315","Poor",985,"Poor","104","Poor","27.8","0.49366310162276855","OE<0.5","Fair","-0.738196627","Not Assessed",NA,"Low","0.181818181818182","Good","0.1478168043","Poor","24.96","31.6640939145967","Below Human Health Threshold","<= 10 ug/L","0.112",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","148","0.81","4.48",NA,2017-10-12
"KSR9-0902","37.8236","-97.46279","-127534.5","37249.42","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_7","RiversMajor","Private","Target_Sampled","KS_Rivers_KS_7th+","Base_09River","Include","KS","Target","NonUrban","1","1","89.04705","KS_RiverStream","None","3296.8","3.85","8.11","Poor","2360","Fair",624,"Fair","65","Poor","19.3","0.86067185278485481","O/E<0.9","Good","-0.710978911","Fair","-2.340706521","Moderate","1.11111428571429","Good","-0.090298128","Poor","33.85","137.520759152234","Below Human Health Threshold","<= 10 ug/L","0.154",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","221","2.95","16.3",NA,2017-10-12
"KYRM-1002","38.68588","-85.17831","930516.1","185953.5","Eastern Highlands","Southern Appalachians","Ohio Region","Ohio-Tennessee Region",NA,"Region_4","RiversMajor","Private","Target_Sampled","KY_RiversMajor_SAP","Base_NewRiversMajor","Include","KY","Target","Urban","1","461.86666","196.87235","KY_RiversMajor","None","1649.69","2.59","7.88","Good","341","Poor",1140,"Poor","61","Poor","3.87","0.53808207557398002","O/E<0.8","Poor","-1.333822512","Not Assessed",NA,"High","2.55721809523809","Fair","-0.092153743","Poor","34.12","44.3389578217159","Below Human Health Threshold","<= 10 ug/L","0.119",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","44.1","1.04","5.78",NA,2017-10-12
