Type,Subpopulation,Indicator,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
National,National,Phosphorus_Conc_Class,< 10,19,1.61604336,0.423556986,0.785886922,2.446199798,15013.59423,3913.462147,7343.349367,22683.83909
National,National,Phosphorus_Conc_Class,10 - 100,610,67.76435967,1.924900204,63.99162459,71.53709474,629554.0234,25295.49634,579975.7616,679132.2852
National,National,Phosphorus_Conc_Class,100 - 1000,331,29.55590988,1.886135381,25.85915246,33.25266729,274584.4876,20063.14744,235261.4412,313907.5341
National,National,Phosphorus_Conc_Class,> 1000,18,1.063687095,0.301488376,0.472780737,1.654593453,9882.016061,2799.464751,4395.165973,15368.86615
National,National,Phosphorus_Conc_Class,Total,978,100,0,100,100,929034.1214,28002.45221,874150.3236,983917.9192
WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,< 10,5,1.986461329,0.988935042,0.048184263,3.924738395,6523.648621,3237.737585,177.7995632,12869.49768
WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,10 - 100,209,78.41793563,3.442173906,71.67139875,85.16447252,257528.8279,15413.8363,227318.2639,287739.3919
WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,100 - 1000,42,19.15329273,3.320558679,12.64511731,25.66146815,62900.47024,12144.26689,39098.14452,86702.79596
WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,> 1000,1,0.442310308,0.362385933,0,1.152573685,1452.57146,1190.431219,0,3785.773776
WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,Total,257,100,0,100,100,328405.5182,16914.10736,295254.477,361556.5595
WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,< 10,2,0.25922372,0.179261243,0,0.610569301,980.2209588,675.5280723,0,2304.231651
WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,10 - 100,213,51.64291688,3.066805715,45.63208813,57.65374563,195281.0087,15418.69624,165060.9193,225501.098
WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,100 - 1000,229,45.9830714,3.073323385,39.95946825,52.00667455,173879.0352,14088.74229,146265.6078,201492.4627
WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,> 1000,16,2.114788,0.66397874,0.813413583,3.416162417,7996.797211,2506.283792,3084.571244,12909.02318
WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,Total,460,100,0,100,100,378137.0621,18319.85284,342230.8103,414043.3138
WSA3_Ecoregions,West,Phosphorus_Conc_Class,< 10,12,3.375285466,0.955677668,1.502191656,5.248379276,7509.72465,2092.730887,3408.047483,11611.40182
WSA3_Ecoregions,West,Phosphorus_Conc_Class,10 - 100,188,79.43860967,2.955659543,73.64562342,85.23159593,176744.1869,11887.21286,153445.6778,200042.696
WSA3_Ecoregions,West,Phosphorus_Conc_Class,100 - 1000,60,16.9916492,2.799096209,11.50552144,22.47777696,37804.98216,6456.050587,25151.35553,50458.60879
WSA3_Ecoregions,West,Phosphorus_Conc_Class,> 1000,1,0.194455658,0.166900039,0,0.521573724,432.6473911,370.8960575,0,1159.590306
WSA3_Ecoregions,West,Phosphorus_Conc_Class,Total,261,100,0,100,100,222491.5411,11667.00276,199624.6359,245358.4463
WSA9_Ecoregions,Coastal Plains,Phosphorus_Conc_Class,< 10,1,0.538700759,0.49393452,0,1.50679463,698.90616,633.7638981,0,1941.060575
