Survey_1,Survey_2,Type,Subpopulation,Indicator,Category,DiffEst.P,StdError.P,LCB95Pct.P,UCB95Pct.P,DiffEst.UP,NResp_1,Estimate.P_1,StdError.P_1,LCB95Pct.P_1,UCB95Pct.P_1,Estimate.U_1,StdError.U_1,LCB95Pct.U_1,UCB95Pct.U_1,NResp_2,Estimate.P_2,StdError.P_2,LCB95Pct.P_2,UCB95Pct.P_2,Estimate.U_2,StdError.U_2,LCB95Pct.U_2,UCB95Pct.U_2
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,< 10,-9.293153521,1.170886987,-11.58804984,-6.998257197,-100596.5932,132,10.78367722,1.162728894,8.504770468,13.06258398,109186.2,12296.27224,85085.94931,133286.4508,37,1.490523703,0.325397285,0.852756744,2.128290662,16134.6314,3508.427471,9258.239912,23011.02288
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,10 - 100,2.379363073,2.188991281,-1.910981001,6.669707146,25756.14602,1024,62.25392539,1.648288063,59.02334015,65.48451062,630329.4701,26220.99208,578937.27,681721.6702,1096,64.63328846,1.656808582,61.38600331,67.88057361,699642.8726,27486.67532,645769.979,753515.7663
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,100 - 1000,8.098956108,1.955059798,4.267109318,11.9308029,87669.63669,600,24.58903328,1.320403936,22.00108912,27.17697744,248967.3096,14148.11282,221237.518,276697.1012,635,32.68798939,1.634284103,29.48485141,35.89112737,353841.176,21212.83339,312264.7865,395417.5655
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,> 1000,-0.887824208,0.436649845,-1.743642178,-0.032006238,-9610.525692,37,2.07602266,0.431423782,1.230447585,2.921597734,21020.01207,4373.635551,12447.84391,29592.18023,28,1.188198452,0.311777646,0.577125495,1.799271408,12862.0189,3380.110132,6237.124782,19486.91302
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,Not Assessed,-0.297341452,0.125206101,-0.542740902,-0.051942003,-3218.663828,7,0.297341452,0.125206101,0.051942003,0.542740902,3010.622683,1263.412564,534.379561,5486.865805,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,< 10,-12.43737373,2.278269417,-16.90269973,-7.97204772,-46251.50669,68,14.25853012,2.218908659,9.909549066,18.60751118,50182.22018,8262.952604,33987.13067,66377.30969,11,1.821156397,0.77543257,0.301336487,3.340976307,6772.428743,2888.688906,1110.702524,12434.15496
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,10 - 100,7.480133387,3.915861013,-0.194813167,15.15507994,27816.75996,337,71.9543858,2.749158435,66.56613428,77.34263732,253240.0465,16761.84539,220387.4332,286092.6598,403,79.43451919,3.049907615,73.45681011,85.41222827,295397.2661,17967.36321,260181.8813,330612.6509
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,100 - 1000,5.880961357,3.273338166,-0.534663558,12.29658627,21869.83599,73,12.37966248,1.791792348,8.867814011,15.89151095,43569.63467,6507.478325,30815.21152,56324.05782,72,18.26062384,2.99653442,12.3875243,24.13372338,67906.72889,12717.49143,42980.90371,92832.55407
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,> 1000,-0.692659443,0.542500727,-1.75594133,0.370622444,-2575.828593,4,1.176360019,0.612610888,0,2.377055297,4140.143268,2154.030459,0,8361.965389,2,0.483700576,0.324882684,0,1.120458935,1798.762418,1206.653512,0,4163.759843
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,Not Assessed,-0.231061576,0.209417432,-0.6415122,0,-859.2606654,1,0.231061576,0.209417432,0,0.6415122,813.2102521,733.8309949,0,2251.492573,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,< 10,-1.867316688,0.852461519,-3.538110564,-0.196522812,-8966.626731,18,2.288205934,0.828025428,0.665305918,3.911105951,9890.40949,3611.616698,2811.770836,16969.04814,4,0.420889247,0.218101777,0,0.848360875,2021.058771,1040.816619,0,4061.021858
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,10 - 100,-4.816504785,3.339748499,-11.36229156,1.729281991,-23128.26787,420,52.4172553,2.513941859,47.4900198,57.3444908,226565.3242,16108.46352,194993.3158,258137.3325,385,47.60075052,2.540808254,42.62085785,52.58064318,228572.9918,16477.8153,196277.0673,260868.9163
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,100 - 1000,8.421392296,3.280562947,1.991607071,14.85117752,40438.49753,453,41.46268442,2.413807256,36.73170913,46.19365971,179215.9182,11765.06686,156156.8108,202275.0255,452,49.88407672,2.533041974,44.91940568,54.84874776,239537.2454,15640.44831,208882.53,270191.9608
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,> 1000,-1.364033451,0.863936795,-3.057318455,0.329251552,-6549.922081,31,3.458316972,0.817489446,1.856067101,5.060566844,14948.03002,3551.49552,7987.226709,21908.83333,22,2.094283521,0.648341769,0.823557004,3.365010037,10056.49375,3128.624886,3924.501653,16188.48585
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Plains and Lowlands,Phosphorus_Conc_Class,Not Assessed,-0.373537371,0.204473567,-0.774298198,0,-1793.680848,5,0.373537371,0.204473567,0,0.774298198,1614.556412,882.7947117,0,3344.802253,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,West,Phosphorus_Conc_Class,< 10,-18.32350334,3.280032644,-24.75224919,-11.89475748,-42220.59916,46,21.50951862,3.316303491,15.00968322,28.00935403,49113.57036,8222.94,32996.90412,65230.23661,22,3.186015289,0.755449418,1.705361637,4.666668942,7341.143885,1698.758786,4011.637846,10670.64992
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,West,Phosphorus_Conc_Class,10 - 100,10.31819419,4.166988599,2.151046608,18.48534177,23774.9481,267,65.92273573,3.567702622,58.93016709,72.91530438,150524.0994,12323.9818,126369.5389,174678.6599,308,76.24092992,2.741329461,70.86802291,81.61383693,175672.6147,12638.55771,150901.4968,200443.7327
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,West,Phosphorus_Conc_Class,100 - 1000,8.669702154,2.859384142,3.065412218,14.27399209,19976.53029,74,11.46642325,1.89197261,7.758225079,15.17462143,26181.75679,4290.101633,17773.3121,34590.20148,111,20.13612541,2.641256935,14.95935694,25.31289387,46397.20167,6498.685703,33660.01174,59134.39159
