Survey_1,Survey_2,Type,Subpopulation,Indicator,Category,DiffEst.P,StdError.P,LCB95Pct.P,UCB95Pct.P,DiffEst.UP,NResp_1,Estimate.P_1,StdError.P_1,LCB95Pct.P_1,UCB95Pct.P_1,Estimate.U_1,StdError.U_1,LCB95Pct.U_1,UCB95Pct.U_1,NResp_2,Estimate.P_2,StdError.P_2,LCB95Pct.P_2,UCB95Pct.P_2,Estimate.U_2,StdError.U_2,LCB95Pct.U_2,UCB95Pct.U_2
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,< 10,-10.18965385,1.329588898,-12.79560021,-7.583707499,-91791.33117,90,11.70605347,1.310204359,9.138100117,14.27400683,102928.3818,11932.51088,79541.09021,126315.6733,19,1.516399621,0.408798471,0.715169342,2.3176299,13660.16371,3667.141492,6472.698461,20847.62896
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,10 - 100,3.428250125,2.485245589,-1.442741721,8.299241972,30882.66266,635,63.1329047,1.877360446,59.45334584,66.81246356,555111.7404,23841.4209,508383.4141,601840.0667,640,66.56115483,1.871274744,62.89352372,70.22878593,599602.0173,24025.027,552513.8296,646690.2049
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,100 - 1000,8.197560194,2.181486567,3.921925091,12.4731953,73845.97881,328,22.48639811,1.474337971,19.59674878,25.37604743,197717.2387,13446.12457,171363.3188,224071.1586,373,30.6839583,1.833742673,27.0898887,34.2780279,276409.9172,18981.12177,239207.6021,313612.2323
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,> 1000,-1.118340855,0.478556619,-2.056294592,-0.180387118,-10074.33592,35,2.356828107,0.507858763,1.361443223,3.352212991,20722.99633,4443.91132,12013.09019,29432.90247,20,1.238487252,0.357593443,0.537616981,1.939357522,11156.6492,3226.450072,4832.923256,17480.37513
NRSA 2008-2009,NRSA 2013-2014,National,National,Phosphorus_Conc_Class,Not Assessed,-0.317815611,0.144419273,-0.600872185,-0.034759037,-2862.974389,6,0.317815611,0.144419273,0.034759037,0.600872185,2794.472674,1263.466572,318.1236964,5270.821652,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,< 10,-13.27461063,2.537739715,-18.24848908,-8.300732191,-42754.96584,42,15.25751055,2.412494072,10.52910905,19.98591204,47550.7193,7757.419776,32346.45592,62754.98267,5,1.982899914,0.98238799,0.057454836,3.908344992,6386.538966,3156.557654,199.799649,12573.27828
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,10 - 100,6.845339499,4.342121867,-1.665062976,15.35574197,22047.52098,183,71.66068391,3.014165032,65.753029,77.56833882,223333.7512,15508.14582,192938.344,253729.1585,210,78.50602341,3.436983197,71.76966013,85.24238669,252852.791,15657.37256,222164.9047,283540.6773
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,100 - 1000,7.57498722,3.539263971,0.638157305,14.51181714,24397.57585,31,11.49243224,1.964474326,7.642133316,15.34273117,35816.68307,6230.757268,23604.62322,48028.74291,42,19.06741946,3.318726262,12.56283552,25.57200341,61412.48811,11896.44685,38095.88074,84729.09549
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,> 1000,-0.884782829,0.629189742,-2.117972063,0.348406404,-2849.715195,4,1.328440043,0.677753857,6.69E-05,2.656813193,4140.143268,2099.035493,26.10929909,8254.177236,1,0.443657214,0.363315927,0,1.155743345,1428.934493,1170.358852,0,3722.795692
NRSA 2008-2009,NRSA 2013-2014,WSA3_Ecoregions,Eastern Highlands,Phosphorus_Conc_Class,Not Assessed,-0.260933256,0.238081167,-0.727563769,0,-840.4157939,1,0.260933256,0.238081167,0,0.727563769,813.2102521,738.002429,0,2259.668433,NA,NA,NA,NA,NA,NA,NA,NA,NA
