Type,Subpopulation,Indicator,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
National,National,Acidification,ACID-AMD,3,0.72669868,0.471499082,0,1.6508199,8794.690105,5719.100636,0,20003.92137
National,National,Acidification,ACID-organic,3,0.174894275,0.086190692,0.005963622,0.343824927,2116.614476,1042.550936,73.25219029,4159.976763
National,National,Acidification,Episodic,3,0.32385782,0.157688118,0.014794787,0.632920852,3919.40875,1909.942621,175.990001,7662.827499
National,National,Acidification,None,1841,98.43146501,0.5325623,97.38766209,99.47526794,1191242.334,35962.44984,1120757.227,1261727.44
National,National,Acidification,Not Assessed,3,0.343084212,0.174302141,0.001458292,0.684710131,4152.091375,2110.46541,15.65518096,8288.527569
National,National,Acidification,Total,1853,100,0,100,100,1210225.139,35978.07202,1139709.413,1280740.864
WSA3_Ecoregions,Eastern Highlands,Acidification,ACID-AMD,2,1.93236157,1.326575701,0,4.532402167,8259.361449,5701.405016,0,19433.90994
WSA3_Ecoregions,Eastern Highlands,Acidification,ACID-organic,1,0.102934094,0.083415586,0,0.266425639,439.9641887,356.0242165,0,1137.758831
WSA3_Ecoregions,Eastern Highlands,Acidification,Episodic,1,0.540765949,0.394689533,0,1.314343219,2311.359065,1691.076838,0,5625.808763
WSA3_Ecoregions,Eastern Highlands,Acidification,None,499,97.42393839,1.383361319,94.71260002,100,416412.5045,24023.99619,369326.3372,463498.6718
WSA3_Ecoregions,Eastern Highlands,Acidification,Total,503,100,0,100,100,427423.1892,24023.93031,380337.151,474509.2274
WSA3_Ecoregions,Plains and Lowlands,Acidification,ACID-AMD,1,0.096936424,0.085023327,0,0.263579082,535.3286559,469.1863403,0,1454.916985
WSA3_Ecoregions,Plains and Lowlands,Acidification,ACID-organic,2,0.303605049,0.177510242,0,0.651518729,1676.650288,979.8717882,0,3597.163702
WSA3_Ecoregions,Plains and Lowlands,Acidification,Episodic,2,0.291182966,0.160961859,0,0.606662413,1608.049685,886.9093548,0,3346.360078
WSA3_Ecoregions,Plains and Lowlands,Acidification,None,893,98.55642175,0.458952693,97.656891,99.4559525,544275.0491,23231.56737,498742.0138,589808.0845
WSA3_Ecoregions,Plains and Lowlands,Acidification,Not Assessed,3,0.751853809,0.381634978,0.003862996,1.499844622,4152.091375,2110.46541,15.65518096,8288.527569
WSA3_Ecoregions,Plains and Lowlands,Acidification,Total,901,100,0,100,100,552247.1691,23256.93062,506664.4227,597829.9155
WSA3_Ecoregions,West,Acidification,None,449,100,0,100,100,230554.7803,13340.38394,204408.1082,256701.4523
WSA3_Ecoregions,West,Acidification,Total,449,100,0,100,100,230554.7803,13340.38394,204408.1082,256701.4523
WSA9_Ecoregions,Coastal Plains,Acidification,ACID-organic,2,0.84328403,0.496226228,0,1.815869565,1676.650288,979.8717882,0,3597.163702
WSA9_Ecoregions,Coastal Plains,Acidification,Episodic,2,0.808780834,0.451694636,0,1.694086052,1608.049685,886.9093548,0,3346.360078
WSA9_Ecoregions,Coastal Plains,Acidification,None,214,98.34793514,0.677306524,97.02043874,99.67543153,195539.2109,18677.26984,158932.4347,232145.9871
WSA9_Ecoregions,Coastal Plains,Acidification,Total,218,100,0,100,100,198823.9108,18676.69319,162218.2649,235429.5568
WSA9_Ecoregions,Northern Appalachians,Acidification,ACID-organic,1,0.318625957,0.258714199,0,0.825696469,439.9641887,356.0242165,0,1137.758831
WSA9_Ecoregions,Northern Appalachians,Acidification,None,251,99.68137404,0.258714199,99.17430353,100,137641.7517,12649.76354,112848.6707,162434.8326
WSA9_Ecoregions,Northern Appalachians,Acidification,Total,252,100,0,100,100,138081.7159,12654.18848,113279.9622,162883.4695
