"Type","Subpopulation","Indicator","Category","Count.NResp.T3.Status.Condition","Estimate.P.T3.Status.Condition","StdError.P.T3.Status.Condition","LCB95.P.T3.Status.Condition","UCB95.P.T3.Status.Condition","Estimate.U.T3.Status.Condition","StdError.U.T3.Status.Condition","LCB95.U.T3.Status.Condition","UCB95.U.T3.Status.Condition","CI95.P.T3.Status.Condition","NationalRef.Estimate.P.T3.Status.Condition","NationalRef.LCB95.P.T3.Status.Condition","NationalRef.UCB95.P.T3.Status.Condition","NationalRef.LCB95.U.T3.Status.Condition","NationalRef.UCB95.U.T3.Status.Condition","ID2Condition","IndicatorPlainLanguage","CategoryConditionPlainLanguage","IndicatorConditionFlag","TypePlainLanguage","SubpopulationPlainLanguage","SubpopulationFlag"
"National","National","Total_Phosphorus","Good",384,17.52449401,1.107639032,15.3535614,19.69542662,212085.832,13401.7978,185818.791,238352.873,4.34186522,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"National-National-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","National","National","Keep"
"National","National","Total_Phosphorus","Fair",416,24.07692136,1.570765861,20.99827684,27.15556587,291384.9549,21670.67421,248911.2139,333858.6958,6.15728903,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"National-National-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","National","National","Keep"
"National","National","Total_Phosphorus","Poor",1053,58.39858463,1.675989492,55.11370559,61.68346367,706754.3517,30084.28064,647790.2452,765718.4583,6.56975808,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"National-National-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","National","National","Keep"
"WSA3_Ecoregions","Eastern Highlands","Total_Phosphorus","Good",60,10.01060558,1.675417723,6.726847184,13.29436398,42787.64963,7238.088001,28601.25783,56974.04143,6.567516796,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA3_Ecoregions-Eastern Highlands-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA3 Ecoregions","Eastern Highlands","Keep"
"WSA3_Ecoregions","Eastern Highlands","Total_Phosphorus","Fair",106,17.88299622,2.414597005,13.15047305,22.61551938,76436.07276,11054.07038,54770.49294,98101.65257,9.46504633,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA3_Ecoregions-Eastern Highlands-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA3 Ecoregions","Eastern Highlands","Keep"
"WSA3_Ecoregions","Eastern Highlands","Total_Phosphorus","Poor",337,72.1063982,2.730227662,66.75525032,77.45754609,308199.4668,21934.91439,265207.8246,351191.109,10.70229577,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA3_Ecoregions-Eastern Highlands-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA3 Ecoregions","Eastern Highlands","Keep"
"WSA3_Ecoregions","Plains and Lowlands","Total_Phosphorus","Good",209,23.15449646,1.875025249,19.47951451,26.82947842,127870.0512,10667.04889,106963.0196,148777.0829,7.34996391,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA3_Ecoregions-Plains and Lowlands-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA3 Ecoregions","Plains & Lowlands","Keep"
"WSA3_Ecoregions","Plains and Lowlands","Total_Phosphorus","Fair",188,25.32688541,2.443489784,20.53773343,30.11603738,139867.0077,15866.00714,108770.2051,170963.8103,9.57830395,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA3_Ecoregions-Plains and Lowlands-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA3 Ecoregions","Plains & Lowlands","Keep"
"WSA3_Ecoregions","Plains and Lowlands","Total_Phosphorus","Poor",504,51.51861813,2.466654813,46.68406353,56.35317272,284510.1102,17548.59601,250115.494,318904.7263,9.66910919,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA3_Ecoregions-Plains and Lowlands-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA3 Ecoregions","Plains & Lowlands","Keep"
"WSA3_Ecoregions","West","Total_Phosphorus","Good",115,17.96888837,2.001767596,14.04549597,21.89228076,41428.13109,4183.491884,33228.63767,49627.62451,7.84678479,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA3_Ecoregions-West-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA3 Ecoregions","Western Mountains & Xeric","Keep"
"WSA3_Ecoregions","West","Total_Phosphorus","Fair",122,32.56574179,3.316397088,26.06572294,39.06576064,75081.87442,9435.854916,56587.93862,93575.81022,13.0000377,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA3_Ecoregions-West-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA3 Ecoregions","Western Mountains & Xeric","Keep"
"WSA3_Ecoregions","West","Total_Phosphorus","Poor",212,49.46536984,3.382013499,42.83674519,56.0939945,114044.7747,10623.04683,93223.98555,134865.5639,13.25724931,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA3_Ecoregions-West-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA3 Ecoregions","Western Mountains & Xeric","Keep"
"WSA9_Ecoregions","Coastal Plains","Total_Phosphorus","Good",48,21.04089485,3.616403349,13.95287453,28.12891516,41834.33001,7258.453051,27608.02345,56060.63657,14.17604063,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Coastal Plains-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Coastal Plains","Keep"
"WSA9_Ecoregions","Coastal Plains","Total_Phosphorus","Fair",59,30.71978413,5.354171235,20.22580134,41.21376692,61078.27622,13261.13071,35086.93763,87069.61481,20.98796558,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Coastal Plains-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Coastal Plains","Keep"
