"Type","Subpopulation","Indicator","Response","TypePlainLanguage","SubpopulationPlainLanguage","SubpopulationFlag","IndicatorPlainLanguage","Category","CategoryConditionPlainLanguage","MetricCategory","ID1Risk","ID2Condition","Estimate.P.T3.Status.AttRisk","LCB95.P.T3.Status.AttRisk","UCB95.P.T3.Status.AttRisk","Estimate.Ratio.T3.Status.RelRisk","LCB95.Ratio.T3.Status.RelRisk","UCB95.Ratio.T3.Status.RelRisk","Count.NResp.T3.Status.Condition","Estimate.P.T3.Status.Condition","StdError.P.T3.Status.Condition","LCB95.P.T3.Status.Condition","UCB95.P.T3.Status.Condition","Estimate.U.T3.Status.Condition","StdError.U.T3.Status.Condition","LCB95.U.T3.Status.Condition","UCB95.U.T3.Status.Condition","CI95.P.T3.Status.Condition","NationalRef.Estimate.P.T3.Status.Condition","NationalRef.LCB95.P.T3.Status.Condition","NationalRef.UCB95.P.T3.Status.Condition","NationalRef.LCB95.U.T3.Status.Condition","NationalRef.UCB95.U.T3.Status.Condition"
"National","National","Total_Phosphorus","Fish_MMI","National","National","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","National-National-Total_Phosphorus-Fish_MMI","National-National-Total_Phosphorus",0.129042250880927,0.0194295832723959,0.226401910755088,1.25582812249678,1.04209169665581,1.51340259049649,1053,58.39858463,1.675989492,55.11370559,61.68346367,706754.3517,30084.28064,647790.2452,765718.4583,6.56975808,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA3_Ecoregions","Eastern Highlands","Total_Phosphorus","Fish_MMI","WSA3 Ecoregions","Eastern Highlands","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA3_Ecoregions-Eastern Highlands-Total_Phosphorus-Fish_MMI","WSA3_Ecoregions-Eastern Highlands-Total_Phosphorus",0.236923282648685,-0.0607504669554906,0.451062153915516,1.43703877024084,0.94131926906902,2.19381510081876,337,72.1063982,2.730227662,66.75525032,77.45754609,308199.4668,21934.91439,265207.8246,351191.109,10.70229577,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA3_Ecoregions","Plains and Lowlands","Total_Phosphorus","Fish_MMI","WSA3 Ecoregions","Plains & Lowlands","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA3_Ecoregions-Plains and Lowlands-Total_Phosphorus-Fish_MMI","WSA3_Ecoregions-Plains and Lowlands-Total_Phosphorus",0.167118825304479,0.0401608282704973,0.277284078839738,1.39734065080579,1.1010998298688,1.77328235045408,504,51.51861813,2.466654813,46.68406353,56.35317272,284510.1102,17548.59601,250115.494,318904.7263,9.66910919,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA3_Ecoregions","West","Total_Phosphorus","Fish_MMI","WSA3 Ecoregions","Western Mountains & Xeric","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA3_Ecoregions-West-Total_Phosphorus-Fish_MMI","WSA3_Ecoregions-West-Total_Phosphorus",-0.0208092976192378,-0.222807433984432,0.147820341007881,0.959694872463517,0.666499554658688,1.38186776239395,212,49.46536984,3.382013499,42.83674519,56.0939945,114044.7747,10623.04683,93223.98555,134865.5639,13.25724931,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Coastal Plains","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Coastal Plains","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Coastal Plains-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Coastal Plains-Total_Phosphorus",0.148570990758051,-0.0266165147583313,0.293863533892811,1.37555002134176,0.973252021470687,1.94413966729204,111,48.23932102,5.124039811,38.19638754,58.2822545,95911.30462,13099.78399,70236.1998,121586.4094,20.08586696,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Northern Appalachians","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Northern Appalachians","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Northern Appalachians-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Northern Appalachians-Total_Phosphorus",0.23009704646025,-0.0924099977326784,0.457391859192522,1.56355041766371,0.906311926299835,2.69740454432416,136,54.63048569,5.141964235,44.55242098,64.7085504,75434.71203,10203.30012,55436.61127,95432.81278,20.15612942,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Northern Plains","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Northern Plains","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Northern Plains-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Northern Plains-Total_Phosphorus",0.292859314742495,0.091049940384373,0.449862021068669,2.12242247457995,1.36220870677415,3.30689206301553,75,36.0408557,3.00205581,30.15693444,41.92477697,9769.855885,816.3060123,8169.9255,11369.78627,11.76784253,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Southern Appalachians","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Southern Appalachians","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Southern Appalachians-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Southern Appalachians-Total_Phosphorus",0.362887522268867,-0.0999241577168271,0.630963365580334,1.7043870068415,0.907294206504154,3.20175644048581,201,80.44638472,2.979156901,74.60734449,86.28542495,232764.7548,19424.82089,194692.8054,270836.7041,11.67808046,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Southern Plains","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Southern Plains","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Southern Plains-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Southern Plains-Total_Phosphorus",0.233020569046151,-0.106507621517081,0.468365661413378,1.49507364526932,0.865715705087687,2.58196217492956,72,59.66015762,5.163879918,49.53913896,69.78117628,23158.66274,3967.542842,15382.42167,30934.90382,20.24203732,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Temporate Plains","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Temperate Plains","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Temporate Plains-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Temporate Plains-Total_Phosphorus",0.219640271043678,-0.0187954136850894,0.402273215606549,1.55526305370471,1.00995233369365,2.39500725482021,136,52.93656614,3.802621926,45.48356412,60.38956816,98382.75722,8705.103385,81321.0681,115444.4463,14.90600404,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Upper Midwest","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Upper Midwest","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Upper Midwest-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Upper Midwest-Total_Phosphorus",0.184944142606706,-0.218908073400594,0.454990851920635,1.39425207750749,0.755933075368776,2.57157534043027,110,56.35895046,4.660315022,47.22490086,65.49300006,57287.52972,6125.918634,45280.94982,69294.10961,18.2680992,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Western Mountains","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Western Mountains","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Western Mountains-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Western Mountains-Total_Phosphorus",-0.106766322745431,-0.347943746080114,0.0912590405010569,0.813351935186693,0.533522100084673,1.23995120420869,130,49.9101201,3.985247793,42.09917795,57.72106224,93101.14684,9950.849391,73597.84042,112604.4533,15.62188429,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
"WSA9_Ecoregions","Xeric","Total_Phosphorus","Fish_MMI","WSA9 Ecoregions","Xeric","Keep","Phosphorus (Total)","Poor","Most Disturbed","Chemical","WSA9_Ecoregions-Xeric-Total_Phosphorus-Fish_MMI","WSA9_Ecoregions-Xeric-Total_Phosphorus",0.34792325234974,0.0548943990233316,0.550098862617323,2.16844734902423,1.27362515798504,3.6919527507837,82,47.58059041,5.646625985,36.51340684,58.64777397,20943.62791,3631.841532,13825.34931,28061.90651,22.13436713,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583
